CODIGO;DESCRIPCION;LOCALIZACION CP;LOCALIZACION (localidad);LOCALIZACION (domicilio);TELEFONO;CODIGO HORARIO;HORARIO;CCAA;CODIGO PROVINCIA;PROVINCIA;COOR X WGS 84;COOR Y WGS 84;COOR X ETRS 89;COOR Y ETRS 89;ACCESO;LATITUD WGS 84;LONGITUD WGS 84;LATITUD ETRS 89;LONGITUD ETRS 89;CODTIPO
0100010;VITORIA-GASTEIZ OP;01001;VITORIA-GASTEIZ;CL POSTAS 9;945156432;J1;L-V: DE 08:30 A 20:30/S: SIN SERVICIO/Festivos: SIN SERVICIO;PAIS VASCO;01;ARABA/ALAVA;-297386.596888692;5288561.12636004;526844.788409947;4743766.18355355;S;42.84600231261;-2.67146925277;42.84600231355;-2.67146925277;OFICINA
0105094;VITORIA-GASTEIZ SUC 1. TXAGORRITXU;01012;VITORIA-GASTEIZ;CL CUBA 2;945255262;GS;L-V: DE 08:30 A 14:30 Y DE 16:30 A 20:00/S: SIN SERVICIO/Festivos: SIN SERVICIO;PAIS VASCO;01;ARABA/ALAVA;-298332.114749862;5290416.7159220325;526145.5958997813;4745120.518681777;S;42.85822258231;-2.67996298424;42.85822258325;-2.67996298424;OFICINA
0105194;VITORIA-GASTEIZ SUC 2. ZABALGANA;01015;VITORIA-GASTEIZ;ET. MEDITERRANEO 39-41;945358226;GS;L-V: DE 08:30 A 14:30 Y DE 16:30 A 20:00/S: SIN SERVICIO/Festivos: SIN SERVICIO;PAIS VASCO;01;ARABA/ALAVA;-299981.015139275;5288371.5807;524940.912986267;4743620.39011297;S;42.84475389448;-2.69477530845;42.84475389542;-2.69477530845;OFICINA
0108094;VITORIA-GASTEIZ SUC 3. LAKUA;01010;VITORIA-GASTEIZ;CL de Pamplona-Iruñea 31;945191198;GS;L-V: DE 08:30 A 14:30 Y DE 16:30 A 20:00/S: SIN SERVICIO/Festivos: SIN SERVICIO;PAIS VASCO;01;ARABA/ALAVA;-300570.70962677937;5291227.35894172;524500.6162278958;4745707.218830863;S;42.86356043736;-2.70007262416;42.8635604383;-2.70007262416;OFICINA
0110894;VITORIA-GASTEIZ SUC 4. ZARAMAGA;01002;VITORIA-GASTEIZ;PRT DE LEGUTIANO 12;945206152;GS;L-V: DE 08:30 A 14:30 Y DE 16:30 A 20:00/S: SIN SERVICIO/Festivos: SIN SERVICIO;PAIS VASCO;01;ARABA/ALAVA;-297099.1734018969;5289630.281424697;527052.6924587543;4744548.922884505;S;42.85304369252;-2.66888728366;42.85304369346;-2.66888728366;OFICINA
0111494;VITORIA-GASTEIZ SUC 6. SALBURUA;01003;VITORIA-GASTEIZ;ET. PRAGA 17;945259064;GS;L-V: DE 08:30 A 14:30 Y DE 16:30 A 20:00/S: SIN SERVICIO/Festivos: SIN SERVICIO;PAIS VASCO;01;ARABA/ALAVA;-295097.99456339184;5288602.155026801;528524.5643088341;4743802.946197015;S;42.84627253933;-2.65091038829;42.84627254027;-2.65091038829;OFICINA
0111794;ALEGRIA-DULANTZI;01240;ALEGRÍA-DULANTZI;CL de DULANTZI 3;945400516;IO;L-V: DE 11:00 A 14:00/S: SIN SERVICIO/Festivos: SIN SERVICIO;PAIS VASCO;01;ARABA/ALAVA;-279555.148447234;5287990.66349713;539936.015222798;4743412.42546449;S;42.84224495598;-2.51128662604;42.84224495693;-2.51128662604;OFICINA
0120001;SALVATIERRA O AGURAIN;01200;AGURAIN/SALVATIERRA;KAL. ENTZIA 7;945300235;OI;L-V: DE 09:30 A 14:00/S: SIN SERVICIO/Festivos: SIN SERVICIO;PAIS VASCO;01;ARABA/ALAVA;-266218.265275;5288840.35867;549721.79913;4744097.63216;S;42.8478413943;-2.39147936608;42.8478413953;-2.39147936608;OFICINA
0123001;NANCLARES DE LA OCA/LANGRAIZ OKA;01230;NANCLARES DE LA OCA/LANGRAIZ OKA;ET. LANGRAIZ 56;945361880;IO;L-V: DE 11:00 A 14:00/S: SIN SERVICIO/Festivos: SIN SERVICIO;PAIS VASCO;01;ARABA/ALAVA;-313201.908958;5284116.1472;515243.09304;4740478.98058;S;42.8167193874;-2.81354061832;42.8167193884;-2.81354061832;OFICINA
0130001;LAGUARDIA;01300;LAGUARDIA;KAL. PAGANOS 55;945600834;NX;L-V: DE 08:30 A 14:30/S: SIN SERVICIO/Festivos: SIN SERVICIO;PAIS VASCO;01;ARABA/ALAVA;-287801.915425642;5244109.27088027;534040.150577977;4711209.8398596;S;42.55253523563;-2.58536859426;42.55253523657;-2.58536859426;OFICINA
